Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Shai Gilgeous-Alexander,26,OKC,PG,44,44,34.4,11.3,21.4,.528,2.0,5.7,.351,9.3,15.7,.592,.574,7.5,8.3,.906,0.9,4.4,5.3,6.0,2.1,1.1,2.7,2.2,32.1,
Giannis Antetokounmpo,30,MIL,PF,37,37,34.8,12.5,20.7,.602,0.1,0.7,.148,12.4,20.0,.618,.604,6.4,10.8,.593,2.2,9.8,12.0,5.8,0.7,1.4,3.5,2.4,31.4,
Nikola Jokić,29,DEN,C,39,39,36.3,11.4,20.1,.566,2.1,4.3,.479,9.3,15.8,.590,.618,5.2,6.4,.810,3.4,9.8,13.1,10.1,1.8,0.6,3.1,2.1,29.9,
LaMelo Ball,23,CHO,PG,30,30,34.1,10.0,23.9,.419,4.2,12.6,.334,5.8,11.3,.513,.507,4.7,5.7,.824,1.0,4.4,5.4,7.5,1.4,0.3,3.8,3.5,28.9,
Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
Kevin Durant,36,PHO,PF,34,34,35.9,9.8,18.7,.524,2.2,5.7,.394,7.6,13.1,.581,.584,5.3,6.4,.830,0.5,6.0,6.4,4.1,0.8,1.3,3.1,1.7,27.2,
Jayson Tatum,26,BOS,PF,43,43,36.3,9.1,20.1,.454,3.6,10.3,.354,5.5,9.8,.559,.545,5.2,6.6,.795,0.6,8.5,9.0,5.4,1.3,0.5,2.8,2.3,27.1,
Tyrese Maxey,24,PHI,PG,37,37,37.9,9.2,21.4,.432,3.3,9.6,.339,5.9,11.7,.508,.508,4.9,5.7,.863,0.2,3.2,3.5,6.0,2.0,0.4,2.4,2.2,26.6,
Anthony Edwards,23,MIN,SG,45,45,36.7,9.0,20.3,.445,4.2,9.8,.425,4.9,10.5,.463,.547,4.1,5.0,.834,0.7,4.9,5.7,4.4,1.1,0.5,3.4,1.9,26.3,
Jalen Brunson,28,NYK,PG,45,45,35.4,8.9,18.4,.487,2.4,5.9,.397,6.6,12.4,.530,.551,5.7,7.0,.818,0.4,2.5,2.9,7.4,0.9,0.0,2.4,2.2,25.9,
Anthony Davis,31,LAL,C,40,40,34.8,9.5,18.2,.524,0.7,2.3,.304,8.8,15.9,.556,.543,6.1,7.8,.788,2.7,9.1,11.9,3.5,1.3,2.2,2.2,2.0,25.9,
Devin Booker,28,PHO,SG,39,39,36.8,8.3,18.8,.441,2.6,7.8,.337,5.7,11.1,.515,.511,6.2,7.0,.893,1.0,3.0,3.9,6.6,1.2,0.3,2.4,2.2,25.5,
Damian Lillard,34,MIL,PG,36,36,36.2,7.7,17.2,.447,3.4,9.0,.383,4.3,8.2,.517,.547,6.4,6.9,.924,0.6,4.1,4.7,7.3,1.3,0.2,2.9,1.8,25.2,
De'Aaron Fox,27,SAC,PG,42,42,37.2,9.2,19.8,.466,2.0,6.3,.317,7.2,13.5,.535,.516,4.6,5.6,.823,1.0,4.0,5.0,6.2,1.5,0.5,3.1,2.6,25.1,
Cade Cunningham,23,DET,PG,41,41,35.6,9.3,20.5,.455,2.4,6.4,.369,7.0,14.1,.495,.513,3.8,4.6,.821,0.9,5.6,6.5,9.4,1.0,0.8,4.7,2.7,24.9,
Karl-Anthony Towns,29,NYK,C,41,41,34.7,9.0,16.6,.541,2.0,4.8,.431,6.9,11.8,.585,.602,5.0,5.9,.839,3.0,10.9,13.9,3.4,1.0,0.8,2.6,3.5,24.9,
Cam Thomas,23,BRK,SG,19,17,32.3,7.9,17.7,.448,2.8,7.6,.375,5.1,10.2,.503,.528,5.9,6.8,.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,
Paolo Banchero,22,ORL,PF,13,13,32.7,8.2,18.2,.447,1.9,5.4,.357,6.2,12.8,.485,.500,6.2,9.5,.653,1.5,6.6,8.1,4.8,0.5,0.8,3.3,2.2,24.5,
Franz Wagner,23,ORL,SF,27,27,32.7,8.9,19.0,.465,2.0,6.3,.324,6.8,12.7,.535,.518,4.8,5.4,.884,0.9,4.6,5.5,5.5,1.6,0.5,2.4,2.3,24.5,
Victor Wembanyama,21,SAS,C,38,38,33.2,9.0,18.9,.476,3.2,9.1,.353,5.8,9.8,.591,.561,3.3,3.9,.844,1.7,9.1,10.8,3.7,1.1,3.9,3.5,2.1,24.5,
Joel Embiid,30,PHI,C,13,13,29.5,7.6,16.8,.452,1.2,3.8,.327,6.4,13.1,.488,.489,7.9,8.6,.920,1.7,6.2,7.9,3.8,0.8,1.0,3.2,2.2,24.4,
Kyrie Irving,32,DAL,SG,36,36,36.0,9.0,18.6,.483,3.0,7.0,.425,6.0,11.6,.518,.563,3.5,3.8,.906,1.0,3.5,4.5,4.9,1.3,0.4,2.3,2.1,24.4,
Tyler Herro,25,MIA,SG,43,43,35.3,8.3,17.4,.476,3.9,9.6,.405,4.4,7.8,.563,.588,3.6,4.1,.874,0.3,5.2,5.5,5.2,0.7,0.1,2.4,1.4,24.0,
Zach LaVine,29,CHI,SF,41,41,34.1,8.7,17.0,.512,3.2,7.2,.444,5.5,9.8,.562,.606,3.4,4.3,.792,0.3,4.6,4.9,4.5,0.9,0.2,2.9,1.5,24.0,
Norman Powell,31,LAC,SG,37,37,32.9,8.3,16.9,.490,3.5,8.0,.431,4.8,8.9,.542,.592,3.9,4.6,.842,0.4,3.1,3.5,2.2,1.3,0.2,2.1,1.9,23.9,
Donovan Mitchell,28,CLE,SG,43,43,31.4,8.3,18.8,.444,3.7,9.3,.398,4.6,9.5,.489,.542,3.4,4.1,.826,0.7,3.7,4.5,4.6,1.4,0.2,2.0,2.1,23.8,
LeBron James,40,LAL,SF,40,40,34.8,9.2,18.1,.510,2.2,5.5,.393,7.1,12.6,.561,.569,3.1,4.1,.762,1.0,6.7,7.6,9.0,0.9,0.6,3.8,1.4,23.7,
Jaylen Brown,28,BOS,SF,39,39,35.4,8.5,18.8,.452,2.0,6.2,.320,6.5,12.6,.516,.504,4.1,5.5,.742,1.5,4.5,6.0,4.8,1.3,0.3,2.7,2.5,23.0,
Jaren Jackson Jr.,25,MEM,C,44,44,29.4,8.3,16.8,.498,1.8,5.2,.348,6.5,11.5,.566,.552,4.4,5.6,.780,1.5,4.8,6.3,2.2,1.4,1.6,2.2,3.3,22.9,
Trae Young,26,ATL,PG,42,42,36.1,7.0,17.3,.401,2.9,8.4,.345,4.0,8.9,.455,.485,6.0,7.0,.853,0.5,2.8,3.4,11.5,1.3,0.2,4.6,2.0,22.8,
Zion Williamson,24,NOP,PF,11,11,28.6,8.5,17.2,.492,0.2,0.9,.200,8.3,16.3,.508,.497,5.4,8.5,.634,3.4,5.1,8.5,5.1,1.2,1.2,3.5,3.0,22.5,
Stephen Curry,36,GSW,PG,37,37,31.7,7.5,17.0,.443,4.3,10.6,.403,3.2,6.4,.508,.568,3.0,3.2,.933,0.5,4.2,4.8,6.4,1.1,0.5,3.0,1.2,22.3,
Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,
RJ Barrett,24,TOR,SF,37,37,33.5,8.2,17.4,.472,1.9,5.4,.352,6.3,12.0,.526,.526,3.8,5.6,.679,1.0,5.7,6.7,5.8,0.8,0.4,3.2,2.5,22.1,
CJ McCollum,33,NOP,PG,33,33,33.3,8.2,18.2,.450,3.1,8.4,.373,5.1,9.9,.515,.536,2.4,3.4,.708,0.7,2.8,3.6,3.8,0.8,0.6,1.7,2.4,22.0,
DeMar DeRozan,35,SAC,SF,40,40,35.9,8.1,16.7,.484,0.9,2.7,.327,7.2,14.1,.514,.510,4.7,5.5,.862,0.6,3.3,3.9,3.7,1.2,0.5,1.4,2.1,21.8,
Darius Garland,25,CLE,PG,44,44,30.3,7.8,15.5,.501,3.0,6.9,.431,4.8,8.6,.558,.598,3.2,3.6,.881,0.6,1.9,2.5,6.8,1.1,0.2,2.4,2.0,21.7,
James Harden,35,LAC,PG,42,42,33.6,6.3,15.9,.397,2.8,8.2,.344,3.5,7.6,.455,.487,6.2,6.9,.897,0.6,5.3,5.9,8.3,1.4,0.6,4.5,2.0,21.7,
Jalen Green,22,HOU,SG,44,44,32.9,7.5,17.3,.432,2.9,8.0,.363,4.5,9.2,.493,.516,3.6,4.1,.877,0.5,3.8,4.3,2.8,0.9,0.3,2.5,1.8,21.4,
Trey Murphy III,24,NOP,SF,30,28,35.0,7.1,15.9,.445,3.0,8.5,.352,4.1,7.3,.555,.540,4.3,4.8,.889,1.0,4.0,5.0,3.0,1.2,0.8,1.6,2.4,21.4,
Jordan Poole,25,WAS,SG,37,37,31.2,6.9,16.3,.424,3.7,9.3,.402,3.2,7.0,.452,.538,3.9,4.5,.867,0.5,2.5,3.0,4.9,1.6,0.4,3.4,3.2,21.4,
Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,
Domantas Sabonis,28,SAC,C,42,42,36.1,8.3,13.7,.606,1.2,2.5,.476,7.1,11.3,.634,.648,3.3,4.2,.778,3.9,10.5,14.4,6.4,0.6,0.5,3.0,3.5,21.0,
Jalen Williams,23,OKC,SG,44,44,32.8,8.1,17.0,.475,1.7,5.0,.347,6.3,12.0,.528,.526,3.2,4.0,.790,0.8,4.8,5.5,5.2,1.8,0.8,2.3,2.5,21.0,
Ja Morant,25,MEM,PG,27,27,28.5,7.0,15.7,.447,1.5,4.9,.308,5.5,10.8,.510,.495,5.1,6.3,.812,0.6,3.5,4.1,7.7,1.3,0.3,3.9,1.9,20.7,
Pascal Siakam,30,IND,PF,45,45,33.2,7.8,14.8,.526,1.7,4.2,.413,6.1,10.6,.571,.585,2.8,3.8,.743,1.8,5.6,7.4,3.4,0.9,0.4,1.3,2.6,20.2,
Scottie Barnes,23,TOR,PF,32,32,34.8,7.7,16.6,.463,1.4,5.1,.278,6.3,11.5,.545,.506,3.3,4.5,.748,1.7,6.5,8.1,6.5,1.5,0.9,3.3,2.1,20.1,
Nikola Vučević,34,CHI,C,45,45,32.3,8.2,14.8,.555,1.9,4.6,.406,6.4,10.2,.622,.618,1.8,2.2,.820,2.4,8.0,10.3,3.4,0.9,0.7,1.5,2.4,20.1,
Jamal Murray,27,DEN,PG,39,39,35.8,7.3,16.1,.456,2.1,5.7,.376,5.2,10.4,.500,.522,3.1,3.6,.863,0.5,3.4,4.0,6.0,1.5,0.5,2.3,1.7,19.9,
Lauri Markkanen,27,UTA,PF,33,33,31.7,6.3,14.8,.425,3.0,8.4,.356,3.3,6.4,.517,.527,4.1,4.7,.877,1.7,4.3,6.1,1.8,0.8,0.3,1.4,1.7,19.7,
Cameron Johnson,28,BRK,PF,35,35,32.3,6.5,13.1,.491,3.2,7.6,.419,3.3,5.5,.591,.613,3.3,3.7,.898,0.7,3.3,4.1,2.9,0.8,0.5,1.7,1.8,19.4,
Alperen Şengün,22,HOU,C,44,44,31.3,7.7,15.7,.491,0.3,1.5,.234,7.4,14.3,.517,.501,3.6,5.1,.702,3.4,7.0,10.4,5.0,1.3,0.8,2.4,2.8,19.3,
Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,
Kristaps Porziņģis,29,BOS,C,21,21,28.1,6.3,13.4,.472,2.3,5.8,.393,4.0,7.6,.531,.557,3.9,4.6,.845,1.8,5.2,7.0,1.8,0.6,1.4,1.0,2.5,18.9,
Julius Randle,30,MIN,PF,45,45,33.0,6.6,14.1,.468,1.5,4.6,.327,5.1,9.4,.536,.521,4.2,5.2,.809,2.2,5.1,7.3,4.6,0.7,0.2,2.9,2.6,18.9,
De'Andre Hunter,27,ATL,SF,31,2,28.2,6.0,13.2,.457,2.6,6.5,.399,3.4,6.6,.515,.556,4.0,4.7,.856,0.6,3.1,3.7,1.5,0.9,0.1,1.5,2.4,18.7,
Miles Bridges,26,CHO,PF,28,28,31.5,6.7,15.3,.438,2.1,6.6,.319,4.6,8.6,.529,.507,3.2,3.6,.873,0.9,6.4,7.3,3.6,0.7,0.6,2.1,1.6,18.6,
Austin Reaves,26,LAL,SG,38,38,35.0,6.1,13.8,.446,2.6,7.1,.364,3.6,6.7,.531,.539,3.6,4.2,.844,0.8,3.3,4.1,6.1,1.1,0.2,2.4,2.0,18.4,
Anfernee Simons,25,POR,SG,42,42,32.2,6.5,15.4,.423,3.0,8.1,.369,3.5,7.3,.484,.520,2.4,2.6,.901,0.3,2.5,2.8,4.7,0.9,0.1,2.2,1.8,18.4,
Evan Mobley,23,CLE,PF,39,39,30.2,7.0,12.3,.570,1.2,2.8,.413,5.9,9.5,.616,.616,3.1,4.1,.761,2.0,6.8,8.8,2.8,0.9,1.4,2.0,2.0,18.3,
Collin Sexton,26,UTA,SG,41,39,29.0,6.5,13.8,.474,1.9,4.7,.401,4.7,9.1,.512,.542,3.4,3.8,.891,1.0,1.8,2.9,4.1,0.7,0.1,2.6,2.2,18.3,
Coby White,24,CHI,SG,40,40,32.6,6.2,14.3,.437,3.0,8.3,.364,3.2,6.0,.538,.542,2.8,3.2,.874,0.4,3.1,3.4,4.7,1.0,0.2,2.4,2.3,18.2,
Mikal Bridges,28,NYK,SF,46,46,38.5,7.4,15.0,.493,2.4,6.8,.360,5.0,8.2,.603,.575,0.9,1.2,.741,0.9,2.2,3.1,3.2,1.0,0.5,1.6,1.4,18.1,
John Collins,27,UTA,PF,28,19,29.8,6.6,12.5,.531,1.5,3.3,.446,5.2,9.2,.562,.590,3.3,3.8,.869,2.4,6.0,8.4,2.5,1.1,0.9,2.6,2.9,18.1,
Michael Porter Jr.,26,DEN,SF,45,45,33.2,6.8,13.4,.512,2.6,6.3,.415,4.2,7.1,.599,.610,1.8,2.5,.719,1.6,4.8,6.4,2.3,0.6,0.4,1.3,1.8,18.1,
Tyrese Haliburton,24,IND,PG,44,44,34.3,6.2,13.8,.450,2.9,8.0,.365,3.3,5.9,.566,.555,2.6,3.1,.859,0.6,2.9,3.6,8.7,1.2,0.6,1.8,1.3,18.0,
Malik Monk,26,SAC,SG,37,24,31.6,6.4,14.4,.446,2.4,7.0,.341,4.1,7.5,.543,.528,2.7,3.1,.878,0.4,3.2,3.6,5.7,1.0,0.5,1.9,2.5,18.0,
Desmond Bane,26,MEM,SG,37,36,29.8,6.7,13.4,.499,2.2,5.8,.386,4.4,7.6,.586,.583,2.1,2.5,.857,0.8,4.6,5.5,5.5,1.3,0.4,2.4,2.4,17.7,
Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,
Dejounte Murray,28,NOP,PG,28,28,33.4,6.4,16.2,.392,1.8,5.8,.301,4.6,10.4,.443,.446,3.0,3.7,.817,0.5,6.0,6.5,7.6,2.2,0.4,3.5,2.0,17.5,
Shaedon Sharpe,21,POR,SG,38,31,31.0,6.5,14.6,.443,1.9,6.1,.310,4.6,8.5,.539,.508,2.5,3.2,.792,0.7,3.3,4.0,2.5,0.8,0.3,2.0,1.9,17.3,
Bradley Beal,31,PHO,SG,31,23,32.9,6.6,13.7,.485,2.1,5.3,.396,4.5,8.4,.540,.561,1.8,2.3,.764,0.7,2.9,3.5,3.3,1.1,0.7,1.9,2.6,17.2,
Paul George,34,PHI,PF,30,30,32.0,6.3,14.6,.429,2.4,6.7,.365,3.8,7.9,.483,.513,2.2,2.6,.823,0.7,5.0,5.6,4.7,1.7,0.4,2.7,2.5,17.1,
Andrew Wiggins,29,GSW,SF,39,39,29.7,6.0,13.3,.448,2.2,5.7,.378,3.8,7.6,.500,.529,3.0,3.8,.796,1.5,3.2,4.6,2.3,0.9,0.7,1.3,1.7,17.1,
Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,
Jonathan Kuminga,22,GSW,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,
Chet Holmgren,22,OKC,C,10,10,26.5,5.6,11.1,.505,1.4,3.7,.378,4.2,7.4,.568,.568,3.8,4.9,.776,1.6,7.1,8.7,2.0,0.8,2.6,2.3,1.8,16.4,
Bennedict Mathurin,22,IND,SF,44,39,32.1,5.8,12.4,.471,1.5,4.3,.364,4.3,8.1,.527,.533,3.2,3.9,.821,1.3,4.7,5.9,1.9,0.7,0.4,2.1,2.6,16.4,
OG Anunoby,27,NYK,PF,46,46,36.7,6.2,12.9,.477,2.0,5.8,.350,4.1,7.1,.581,.556,2.0,2.5,.807,1.3,3.5,4.8,2.0,1.4,0.9,1.3,2.4,16.3,
Malik Beasley,28,DET,SG,45,11,28.1,5.7,13.3,.427,3.7,9.2,.400,2.0,4.1,.486,.565,1.2,1.7,.684,0.6,2.4,2.9,1.8,0.9,0.0,1.1,1.4,16.2,
Keyonte George,21,UTA,PG,33,32,31.6,5.4,14.0,.384,2.7,7.9,.338,2.7,6.2,.443,.479,2.8,3.5,.807,0.5,3.0,3.5,5.8,0.8,0.2,2.9,1.8,16.2,
Immanuel Quickley,25,TOR,PG,9,9,28.4,5.3,14.1,.378,2.2,6.4,.345,3.1,7.7,.406,.457,3.3,3.6,.938,0.1,2.1,2.2,6.1,0.7,0.1,1.8,1.8,16.2,
Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,
Devin Vassell,24,SAS,SG,28,17,29.8,6.0,13.6,.442,2.4,6.2,.382,3.7,7.5,.493,.529,1.8,2.3,.781,0.7,3.0,3.8,3.1,1.2,0.6,1.7,1.6,16.2,
Jordan Clarkson,32,UTA,SG,22,3,25.5,5.4,13.1,.413,1.9,5.5,.339,3.5,7.6,.467,.484,3.3,4.1,.811,0.6,2.7,3.4,3.8,0.9,0.3,2.5,1.5,16.0,
Derrick White,30,BOS,SG,44,44,33.6,5.5,12.6,.433,3.3,8.8,.370,2.2,3.8,.581,.563,1.7,2.0,.833,1.0,3.4,4.4,4.1,0.9,1.2,1.6,2.0,15.9,
Gradey Dick,21,TOR,SG,39,39,30.1,5.4,13.1,.416,2.3,6.6,.348,3.2,6.5,.484,.503,2.7,3.1,.882,0.7,2.5,3.2,2.1,0.8,0.2,1.7,2.3,15.8,
Mark Williams,23,CHO,C,19,16,23.8,6.2,9.9,.624,0.0,0.1,.000,6.2,9.9,.628,.624,3.3,4.3,.756,3.3,6.1,9.4,2.4,0.7,1.2,1.1,2.6,15.7,
Bam Adebayo,27,MIA,C,43,43,33.5,6.0,13.2,.454,0.7,2.5,.274,5.3,10.7,.496,.480,2.9,4.0,.725,2.5,7.4,10.0,4.4,1.4,0.8,2.1,2.2,15.6,
Myles Turner,28,IND,C,42,42,31.1,5.5,11.6,.479,2.0,5.2,.393,3.5,6.4,.551,.568,2.2,3.0,.746,1.4,5.5,6.8,1.5,0.8,2.0,1.9,2.8,15.4,
Fred VanVleet,30,HOU,PG,41,41,35.9,5.3,13.5,.394,2.8,7.9,.353,2.5,5.6,.452,.497,2.0,2.4,.816,0.7,3.3,4.0,5.9,1.7,0.5,1.6,2.5,15.4,
Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,
Ivica Zubac,27,LAC,C,43,43,31.7,6.6,10.9,.610,0.0,0.0,,6.6,10.9,.610,.610,1.6,2.8,.566,3.8,8.7,12.5,2.5,0.7,1.2,1.7,1.9,14.9,
Dennis Schröder,31,2TM,SG,43,40,30.3,5.2,12.4,.419,2.0,5.6,.354,3.2,6.8,.473,.499,2.3,2.7,.868,0.3,2.2,2.5,5.6,1.0,0.1,2.3,2.5,14.7,
Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,
Dennis Schröder,31,GSW,SG,20,17,26.5,3.9,10.5,.368,1.4,4.5,.300,2.5,6.0,.420,.433,1.4,1.7,.818,0.4,1.6,2.0,4.4,0.8,0.1,2.1,2.7,10.4,
Jerami Grant,30,POR,PF,35,35,32.4,4.7,12.4,.380,2.4,6.3,.379,2.3,6.1,.381,.476,2.9,3.4,.842,0.5,2.9,3.5,2.2,0.8,1.1,1.4,2.3,14.7,
Deni Avdija,24,POR,SF,43,25,28.7,4.9,10.5,.466,1.5,4.3,.344,3.4,6.2,.551,.537,3.3,4.3,.768,1.3,5.2,6.5,3.5,1.1,0.6,2.4,2.2,14.6,
Kyle Kuzma,29,WAS,PF,27,25,27.7,5.8,13.7,.423,1.3,4.6,.280,4.5,9.1,.496,.470,1.7,2.9,.584,0.8,4.9,5.7,2.7,0.7,0.2,2.4,1.6,14.6,
Jakob Poeltl,29,TOR,C,40,39,31.3,6.4,10.3,.615,0.0,0.1,.000,6.4,10.3,.618,.615,1.8,2.8,.652,3.6,6.7,10.3,2.7,1.2,1.2,2.0,3.4,14.5,
Kawhi Leonard,33,LAC,SF,7,7,22.4,6.0,12.6,.477,1.3,4.1,.310,4.7,8.4,.559,.528,1.1,1.4,.800,0.6,2.7,3.3,1.9,1.0,0.0,1.1,0.6,14.4,
Josh Hart,29,NYK,SG,45,45,37.8,5.4,9.6,.558,1.2,3.4,.364,4.1,6.2,.662,.622,2.2,2.7,.818,2.3,7.5,9.8,5.7,1.5,0.4,2.0,2.7,14.1,
Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,
Payton Pritchard,27,BOS,PG,46,0,27.6,4.9,10.6,.462,3.2,7.8,.408,1.7,2.8,.612,.612,1.1,1.3,.847,1.4,2.2,3.7,3.4,0.8,0.2,1.0,1.6,14.1,
Christian Braun,23,DEN,SG,44,44,32.4,5.5,9.6,.570,0.9,2.5,.373,4.5,7.1,.640,.619,2.1,2.6,.817,1.3,3.4,4.6,1.9,1.0,0.6,1.0,2.3,14.0,
