Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Marcus Smart,30,MEM,PG,18,6,21.2,2.9,7.9,.373,1.6,4.8,.333,1.3,3.1,.436,.475,1.7,2.0,.833,0.8,1.6,2.3,3.8,1.3,0.3,1.9,1.7,9.2,
Dorian Finney-Smith,31,2TM,PF,30,21,27.1,3.2,6.9,.462,2.1,4.8,.431,1.1,2.1,.531,.611,0.6,1.0,.655,1.4,2.6,4.0,1.3,0.9,0.4,0.7,2.5,9.1,
Dorian Finney-Smith,31,BRK,PF,20,20,29.0,3.7,8.0,.459,2.4,5.4,.435,1.3,2.6,.510,.607,0.8,1.2,.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,
Dorian Finney-Smith,31,LAL,PF,10,1,23.3,2.3,4.9,.469,1.5,3.6,.417,0.8,1.3,.615,.622,0.4,0.5,.800,1.2,1.7,2.9,0.9,0.8,0.0,0.3,2.0,6.5,
Dereck Lively II,20,DAL,C,32,25,24.0,3.9,5.5,.701,0.0,0.0,,3.9,5.5,.701,.701,1.4,2.2,.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1,
Caleb Martin,29,PHI,SF,31,24,30.4,3.3,7.5,.435,1.1,2.8,.379,2.2,4.7,.469,.506,1.5,2.4,.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,
Miles McBride,24,NYK,PG,36,0,23.3,3.2,7.8,.416,1.7,4.6,.372,1.5,3.2,.478,.525,0.9,1.1,.825,0.8,1.6,2.4,2.8,0.8,0.2,0.8,1.5,9.1,
Patrick Williams,23,CHI,PF,36,35,26.6,3.2,8.6,.370,1.6,4.6,.355,1.6,4.0,.386,.465,1.1,1.3,.813,0.6,3.2,3.8,2.2,0.8,0.6,1.4,1.4,9.1,
Carlton Carrington,19,WAS,PG,44,34,29.9,3.3,8.4,.397,1.6,4.7,.340,1.7,3.7,.469,.492,0.7,0.9,.800,0.3,3.9,4.2,3.9,0.8,0.2,1.5,2.5,9.0,
Bruce Brown,28,TOR,PG,12,0,19.7,3.5,7.7,.457,0.7,2.1,.320,2.8,5.6,.507,.500,1.2,1.4,.824,1.0,2.8,3.8,1.6,0.8,0.2,1.3,1.8,8.8,
Aaron Nesmith,25,IND,SF,10,7,19.6,3.1,5.7,.544,1.1,2.2,.500,2.0,3.5,.571,.640,1.5,1.7,.882,0.5,3.0,3.5,0.9,0.4,0.2,0.9,2.9,8.8,
Dalano Banton,25,POR,PG,37,0,15.7,3.1,7.6,.406,1.2,3.3,.352,1.9,4.4,.447,.482,1.3,1.9,.700,0.3,1.6,1.9,2.2,0.8,0.5,1.3,1.0,8.7,
Tristan Da Silva,23,ORL,SF,43,34,26.2,3.3,7.9,.417,1.2,3.9,.317,2.0,4.0,.515,.496,0.9,1.0,.841,1.3,2.9,4.1,1.7,0.5,0.2,0.9,1.6,8.7,
Georges Niang,31,CLE,PF,45,1,20.4,3.3,6.8,.482,1.8,4.3,.405,1.5,2.5,.616,.611,0.4,0.5,.762,0.7,3.1,3.8,1.4,0.4,0.1,1.0,2.4,8.7,
Jusuf Nurkić,30,PHO,C,25,23,23.7,3.0,6.5,.454,0.8,2.4,.322,2.2,4.2,.529,.512,1.9,2.8,.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,
Wendell Carter Jr.,25,ORL,C,34,25,25.5,3.0,6.9,.434,0.4,2.4,.188,2.6,4.6,.561,.466,2.1,3.0,.703,1.8,5.5,7.3,2.2,0.9,0.6,1.0,2.9,8.5,
Moses Moody,22,GSW,SG,38,4,17.7,2.9,6.7,.439,1.6,4.1,.397,1.3,2.6,.505,.561,0.9,1.3,.735,0.5,1.5,2.0,1.1,0.5,0.3,0.7,1.3,8.5,
Cole Anthony,24,ORL,PG,42,8,16.3,3.1,7.6,.411,0.9,2.9,.309,2.2,4.7,.474,.470,1.2,1.6,.765,0.6,2.2,2.8,2.6,0.6,0.3,1.6,2.0,8.4,
Draymond Green,34,GSW,PF,34,32,27.8,2.9,7.1,.415,1.4,3.7,.362,1.6,3.4,.474,.510,1.2,1.9,.615,1.0,5.0,6.0,5.5,1.0,1.1,2.5,3.1,8.4,
Jaylen Nowell,25,NOP,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,
Ausar Thompson,22,DET,SF,23,12,19.7,3.5,6.8,.519,0.3,1.3,.233,3.2,5.5,.587,.542,1.1,1.8,.595,1.5,3.2,4.7,1.6,1.6,0.4,1.5,2.6,8.4,
Nickeil Alexander-Walker,26,MIN,SG,45,2,22.9,3.0,6.7,.452,1.6,3.9,.406,1.4,2.8,.516,.570,0.7,1.0,.696,0.6,2.2,2.7,2.3,0.6,0.3,1.2,1.6,8.3,
Max Christie,21,LAL,SG,42,21,24.5,2.7,6.1,.444,1.2,3.4,.366,1.5,2.7,.539,.545,1.6,1.9,.852,0.6,2.0,2.6,1.3,0.8,0.5,0.8,1.5,8.3,
Brandin Podziemski,21,GSW,SG,32,8,24.1,3.2,7.7,.419,1.1,3.6,.313,2.1,4.1,.511,.492,0.8,1.0,.750,1.0,3.4,4.4,3.2,1.0,0.2,1.0,1.5,8.3,
Trendon Watford,24,BRK,PF,13,0,16.1,2.7,6.1,.443,0.6,2.0,.308,2.1,4.1,.509,.494,2.3,2.7,.857,0.3,2.5,2.8,1.2,0.4,0.3,1.2,2.3,8.3,
Peyton Watson,22,DEN,SF,45,12,24.2,3.0,6.3,.470,0.7,2.0,.348,2.3,4.3,.528,.526,1.6,2.2,.747,0.8,2.6,3.4,1.5,0.8,1.3,0.9,1.7,8.3,
Jaden Hardy,22,DAL,SG,35,3,15.9,3.0,6.9,.430,1.3,3.2,.396,1.7,3.7,.458,.521,1.0,1.4,.729,0.2,1.4,1.6,1.5,0.6,0.1,1.5,1.6,8.2,
Jay Huff,26,MEM,C,41,1,13.7,2.9,5.5,.524,1.5,3.6,.416,1.4,1.9,.737,.662,0.9,1.2,.771,0.5,1.8,2.3,0.7,0.3,1.0,0.7,1.5,8.2,
Trayce Jackson-Davis,24,GSW,C,44,36,20.0,3.5,6.2,.571,0.0,0.0,.000,3.5,6.2,.574,.571,1.1,1.9,.595,2.4,4.0,6.4,2.2,0.5,0.8,0.9,1.5,8.2,
Jalen Smith,24,CHI,C,42,1,15.2,2.9,6.2,.467,1.1,3.3,.343,1.7,2.8,.613,.560,1.3,1.5,.831,1.5,3.9,5.4,0.8,0.3,0.7,0.6,1.5,8.2,
Kel'el Ware,20,MIA,C,29,3,15.9,3.4,6.1,.551,0.7,1.7,.380,2.7,4.4,.617,.604,0.8,1.1,.742,1.1,3.6,4.7,0.5,0.6,1.0,0.7,1.1,8.2,
Mike Conley,37,MIN,PG,41,35,24.5,2.5,6.8,.374,1.8,4.6,.392,0.7,2.2,.337,.507,1.2,1.4,.893,0.5,2.1,2.6,4.3,1.3,0.2,1.1,1.5,8.1,
Al Horford,38,BOS,C,36,25,26.8,3.0,7.1,.416,1.8,5.1,.359,1.1,2.0,.562,.545,0.3,0.3,.833,1.1,4.2,5.3,2.1,0.6,0.9,0.8,1.5,8.1,
Tyrese Martin,25,BRK,SG,30,6,21.2,3.0,7.5,.398,1.6,4.5,.348,1.4,3.0,.473,.502,0.6,0.9,.654,1.1,2.9,4.0,1.8,0.4,0.2,1.3,1.1,8.1,
Garrison Mathews,28,ATL,SG,36,2,18.4,2.3,5.7,.403,1.9,4.9,.394,0.4,0.9,.452,.570,1.5,1.9,.821,0.3,1.5,1.8,1.5,0.7,0.3,0.7,1.8,8.1,
Justin Champagnie,23,WAS,SF,26,13,20.3,3.1,6.2,.503,1.2,3.0,.392,1.9,3.2,.610,.599,0.6,1.0,.640,1.6,3.2,4.8,0.9,1.0,0.6,0.8,2.0,8.0,
Kevin Huerter,26,SAC,SG,41,15,21.5,3.0,7.4,.413,1.5,4.9,.302,1.6,2.5,.625,.512,0.5,0.7,.714,0.5,2.4,2.9,1.7,0.9,0.4,0.9,1.7,8.0,
GG Jackson II,20,MEM,PF,4,0,16.8,3.0,7.8,.387,1.0,4.0,.250,2.0,3.8,.533,.452,1.0,1.3,.800,1.0,3.0,4.0,0.8,0.3,0.0,1.3,0.8,8.0,
A.J. Green,25,MIL,SG,38,4,21.8,2.7,5.9,.447,2.3,5.2,.442,0.3,0.7,.481,.642,0.3,0.4,.857,0.3,2.1,2.3,1.3,0.5,0.1,0.6,2.2,7.9,
Jake LaRavia,23,MEM,PF,42,0,21.8,2.7,5.5,.491,0.9,2.1,.437,1.8,3.4,.524,.574,1.5,2.1,.711,1.4,3.0,4.4,3.1,0.9,0.5,1.5,2.0,7.8,
Cody Martin,29,CHO,SF,39,8,24.8,3.0,6.9,.433,1.0,3.2,.323,1.9,3.7,.528,.507,0.9,1.3,.694,1.0,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8,
Max Strus,28,CLE,SF,17,4,24.0,2.8,6.7,.412,2.0,5.3,.378,0.8,1.4,.542,.561,0.2,0.3,.800,0.9,3.1,4.0,2.9,0.4,0.4,1.0,1.9,7.8,
Brandon Clarke,28,MEM,PF,43,18,18.6,3.4,5.6,.612,0.0,0.4,.063,3.4,5.3,.650,.614,0.8,1.1,.673,1.8,3.2,5.0,1.0,0.9,0.5,0.6,2.4,7.7,
Keon Ellis,25,SAC,SG,43,10,21.3,2.5,5.1,.489,1.6,3.6,.445,0.9,1.5,.594,.646,1.0,1.2,.860,0.8,1.6,2.4,1.2,1.3,0.7,0.7,1.9,7.6,
Day'Ron Sharpe,23,BRK,C,24,0,17.4,3.0,6.3,.480,0.2,1.1,.148,2.9,5.2,.552,.493,1.4,1.9,.733,2.8,3.4,6.2,1.4,0.7,0.5,1.3,1.9,7.6,
Kyshawn George,21,WAS,SG,39,9,25.7,2.6,7.4,.348,1.4,5.1,.278,1.2,2.3,.506,.444,1.0,1.3,.760,0.8,2.9,3.7,2.3,0.9,0.6,1.3,3.0,7.5,
Sam Hauser,27,BOS,PF,39,7,20.1,2.7,6.2,.434,2.1,5.3,.386,0.6,0.9,.714,.599,0.1,0.1,1.000,0.7,2.3,2.9,1.0,0.7,0.2,0.3,1.1,7.5,
Cason Wallace,21,OKC,SG,44,30,27.8,3.1,6.9,.449,1.0,3.0,.341,2.1,3.9,.532,.523,0.3,0.4,.778,1.1,2.4,3.5,2.5,1.7,0.6,0.7,2.3,7.5,
Taurean Prince,30,MIL,SF,43,36,25.6,2.6,5.7,.457,1.7,3.7,.465,0.9,2.0,.443,.607,0.4,0.5,.773,0.6,3.1,3.7,1.9,0.8,0.1,1.0,1.9,7.4,
Ryan Dunn,22,PHO,SF,40,24,20.1,3.0,6.6,.452,1.1,3.5,.317,1.9,3.1,.605,.536,0.3,0.5,.476,1.0,2.4,3.4,0.9,0.5,0.7,0.4,2.4,7.3,
Josh Green,24,CHO,SG,40,39,28.1,2.6,6.1,.420,1.4,3.6,.401,1.1,2.5,.446,.537,0.7,1.1,.690,1.1,1.8,2.9,1.5,1.1,0.3,0.9,2.8,7.3,
Johnny Juzang,23,UTA,SG,32,5,17.8,2.5,5.9,.418,1.7,4.2,.400,0.8,1.7,.463,.561,0.7,0.8,.880,0.6,2.2,2.8,1.0,0.4,0.2,0.5,1.9,7.3,
Cameron Payne,30,NYK,PG,40,1,14.6,2.6,6.0,.429,1.5,3.7,.409,1.1,2.3,.462,.556,0.6,0.7,.893,0.3,1.2,1.4,2.6,0.6,0.3,0.7,1.8,7.3,
Andre Drummond,31,PHI,C,28,16,19.2,2.9,5.7,.509,0.0,0.4,.091,2.9,5.3,.541,.513,1.3,2.2,.574,2.5,5.1,7.6,0.6,1.1,0.4,1.7,2.4,7.1,
Justin Edwards,21,PHI,SF,15,0,20.3,2.7,5.8,.460,1.2,3.5,.340,1.5,2.3,.647,.563,0.5,0.9,.615,1.0,1.8,2.8,0.9,0.7,0.3,0.9,1.9,7.1,
Quinten Post,24,GSW,PF,7,0,12.0,2.7,5.6,.487,1.4,3.9,.370,1.3,1.7,.750,.615,0.3,0.3,1.000,0.4,1.7,2.1,1.6,0.1,0.3,0.7,1.7,7.1,
Isaiah Jackson,23,IND,C,5,1,16.8,2.8,4.6,.609,0.0,0.0,,2.8,4.6,.609,.609,1.4,2.8,.500,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0,
Kelly Olynyk,33,TOR,C,21,1,15.2,2.3,4.6,.510,0.8,1.7,.486,1.5,2.9,.525,.599,1.5,2.0,.780,0.9,2.5,3.4,2.3,0.7,0.4,1.5,2.2,7.0,
Ja'Kobe Walter,20,TOR,SG,27,7,18.4,2.6,6.5,.394,0.9,3.1,.298,1.6,3.4,.484,.466,0.9,1.4,.658,0.7,1.7,2.4,1.4,0.5,0.2,0.8,1.9,7.0,
Torrey Craig,34,CHI,SF,9,1,12.6,2.4,5.0,.489,1.7,3.9,.429,0.8,1.1,.700,.656,0.3,0.4,.750,0.9,1.9,2.8,0.6,0.2,0.1,0.0,1.7,6.9,
Bones Hyland,24,LAC,PG,19,0,11.3,2.2,5.8,.373,1.5,4.1,.377,0.6,1.7,.364,.505,1.1,1.3,.875,0.3,1.0,1.3,1.5,0.9,0.2,1.2,1.2,6.9,
Trey Lyles,29,SAC,PF,35,2,20.3,2.3,5.8,.397,1.4,4.0,.348,0.9,1.8,.508,.517,0.9,1.1,.775,1.1,3.7,4.8,0.9,0.6,0.5,0.6,1.3,6.9,
Jared Butler,24,WAS,PG,31,0,11.1,2.7,5.5,.488,0.5,1.3,.375,2.2,4.2,.523,.532,1.0,1.3,.775,0.5,0.9,1.3,2.5,0.4,0.2,0.9,1.2,6.8,
Vasilije Micić,31,CHO,PG,31,12,20.3,2.4,7.1,.335,1.1,3.4,.333,1.3,3.7,.336,.414,0.9,1.1,.818,0.5,1.7,2.3,3.4,0.5,0.0,2.0,1.2,6.8,
Eric Gordon,36,PHI,SG,33,10,19.4,2.2,5.2,.421,1.4,3.5,.397,0.8,1.7,.473,.556,1.0,1.3,.744,0.2,0.9,1.1,1.5,0.6,0.3,0.7,0.8,6.7,
Elfrid Payton,30,NOP,PG,7,3,20.6,3.3,6.6,.500,0.0,0.1,.000,3.3,6.4,.511,.500,0.1,0.3,.500,0.7,2.7,3.4,6.9,1.4,0.4,2.9,1.4,6.7,
Lonzo Ball,27,CHI,PG,25,4,20.7,2.2,6.2,.364,1.8,5.2,.336,0.5,0.9,.522,.506,0.4,0.5,.750,0.5,2.8,3.4,3.6,1.6,0.5,1.2,1.6,6.6,
Haywood Highsmith,28,MIA,SF,42,33,24.3,2.5,5.2,.475,1.2,3.0,.409,1.2,2.2,.565,.594,0.4,0.6,.667,0.8,2.4,3.2,1.2,1.0,0.6,0.8,2.1,6.6,
Sam Merrill,28,CLE,SG,38,2,18.2,2.2,5.8,.369,1.7,5.1,.333,0.5,0.8,.600,.514,0.6,0.6,.957,0.5,1.4,1.8,1.7,0.6,0.2,0.4,1.8,6.6,
Simone Fontecchio,29,DET,SF,40,0,17.9,2.2,5.3,.406,1.2,3.3,.351,1.0,2.0,.494,.514,1.0,1.3,.800,0.7,2.3,2.9,0.9,0.3,0.2,0.8,1.4,6.5,
DaQuan Jeffries,27,CHO,SG,11,0,17.9,2.5,5.3,.483,1.2,2.8,.419,1.4,2.5,.556,.595,0.3,0.4,.750,0.8,2.4,3.2,0.7,0.6,0.5,0.6,1.7,6.5,
Terance Mann,28,LAC,SG,32,12,20.4,2.5,5.5,.458,0.8,2.1,.364,1.8,3.5,.514,.525,0.7,0.9,.700,0.8,2.2,3.0,1.8,0.8,0.3,0.7,1.9,6.5,
Ron Holland,19,DET,SF,45,1,15.6,2.4,5.2,.468,0.5,2.0,.256,1.9,3.2,.600,.517,1.0,1.3,.780,0.5,2.3,2.8,0.8,0.5,0.2,0.9,1.8,6.4,
Vit Krejci,24,ATL,PG,30,13,19.2,2.3,5.2,.436,1.3,3.4,.392,0.9,1.8,.519,.564,0.5,0.7,.714,0.4,1.9,2.3,2.6,0.7,0.5,0.8,1.8,6.4,
KJ Martin,24,PHI,PF,24,7,20.0,2.5,4.1,.616,0.3,0.9,.381,2.2,3.3,.679,.657,1.0,1.2,.828,0.9,2.1,3.0,0.8,0.5,0.7,0.5,2.6,6.4,
Ajay Mitchell,22,OKC,SG,34,1,16.5,2.5,4.9,.506,0.6,1.5,.431,1.8,3.4,.539,.572,0.8,1.0,.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4,
Josh Okogie,26,2TM,SG,29,1,15.0,2.3,4.8,.471,0.7,1.9,.389,1.6,3.0,.523,.546,1.1,1.5,.705,1.3,1.8,3.1,0.7,1.1,0.4,0.7,1.2,6.3,
Josh Okogie,26,PHO,SG,25,1,14.0,2.2,4.6,.491,0.6,1.7,.381,1.6,2.9,.556,.561,0.9,1.3,.688,1.3,1.6,2.9,0.6,0.8,0.4,0.6,1.1,6.0,
Josh Okogie,26,CHO,SG,4,0,20.8,2.5,6.5,.385,1.3,3.0,.417,1.3,3.5,.357,.481,2.3,3.0,.750,1.5,3.0,4.5,1.5,2.8,0.8,1.0,2.0,8.5,
Shake Milton,28,2TM,SG,34,1,16.3,2.3,5.0,.450,0.9,2.4,.366,1.4,2.6,.528,.538,0.9,1.1,.769,0.5,1.3,1.8,2.1,0.4,0.1,0.7,1.4,6.3,
Shake Milton,28,BRK,SG,27,1,18.2,2.7,5.8,.465,1.0,2.7,.389,1.7,3.1,.529,.554,0.9,1.2,.758,0.6,1.3,1.9,2.4,0.6,0.0,0.7,1.6,7.4,
Shake Milton,28,LAL,SG,7,0,8.7,0.6,2.0,.286,0.3,1.4,.200,0.3,0.6,.500,.357,0.7,0.9,.833,0.1,1.3,1.4,1.1,0.0,0.1,0.6,0.4,2.1,
Ricky Council IV,23,PHI,SF,36,3,14.3,2.1,5.1,.402,0.6,2.2,.269,1.5,2.9,.500,.459,1.6,1.9,.836,0.7,1.7,2.3,0.9,0.3,0.2,0.6,0.8,6.3,
Ben Simmons,28,BRK,PG,30,24,25.3,2.9,5.2,.555,0.0,0.0,,2.9,5.2,.555,.555,0.5,0.8,.696,0.9,4.4,5.3,7.1,0.8,0.5,2.8,2.5,6.3,
Jarace Walker,21,IND,PF,45,1,16.8,2.3,4.9,.468,1.0,2.5,.389,1.3,2.4,.551,.568,0.8,1.2,.642,0.4,2.9,3.3,1.5,1.0,0.4,1.1,1.7,6.3,
Talen Horton-Tucker,24,CHI,SG,38,0,12.0,2.2,4.8,.459,0.8,2.1,.388,1.4,2.7,.515,.544,0.9,1.3,.729,0.4,1.4,1.8,1.4,0.4,0.2,0.7,1.0,6.2,
Jonathan Isaac,27,ORL,PF,41,0,16.7,2.2,5.4,.412,0.7,2.7,.257,1.5,2.7,.563,.475,1.1,1.7,.667,1.8,3.0,4.8,0.5,0.8,1.3,0.5,1.4,6.2,
Dru Smith,27,MIA,SG,14,1,19.1,2.2,4.4,.508,1.1,2.1,.533,1.1,2.2,.484,.639,0.6,0.9,.750,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2,
Kyle Filipowski,21,UTA,C,33,8,18.3,2.3,4.7,.490,0.6,2.0,.318,1.7,2.7,.618,.558,0.8,1.4,.596,1.0,3.8,4.8,1.7,0.6,0.1,1.0,1.9,6.1,
Javonte Green,31,NOP,SG,41,15,21.9,2.1,4.6,.466,0.8,2.1,.388,1.3,2.5,.529,.553,1.0,1.3,.774,1.1,2.4,3.5,0.9,1.0,0.7,0.7,1.5,6.1,
Kevin Love,36,MIA,PF,17,6,11.6,2.1,5.8,.354,1.2,3.4,.362,0.8,2.4,.341,.460,0.8,1.1,.684,1.0,3.4,4.4,1.1,0.8,0.1,0.8,0.9,6.1,
Davion Mitchell,26,TOR,PG,40,20,24.7,2.3,5.5,.418,0.9,2.6,.333,1.4,2.9,.496,.498,0.6,0.9,.667,0.4,1.6,2.0,4.6,0.7,0.2,1.7,2.6,6.1,
Nick Smith Jr.,20,CHO,SG,24,5,14.6,2.3,6.0,.386,1.3,3.5,.357,1.1,2.5,.426,.490,0.2,0.2,.800,0.2,1.5,1.7,1.4,0.3,0.2,0.8,0.7,6.1,
Thomas Bryant,27,2TM,C,29,1,13.1,2.3,4.1,.550,0.8,1.9,.411,1.5,2.2,.672,.646,0.7,0.7,.950,1.3,2.3,3.6,0.7,0.4,0.6,0.3,0.9,6.0,
Thomas Bryant,27,MIA,C,10,0,11.5,1.2,2.8,.429,0.6,1.7,.353,0.6,1.1,.545,.536,1.1,1.1,1.000,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,
Thomas Bryant,27,IND,C,19,1,13.9,2.8,4.8,.587,0.9,2.1,.436,1.9,2.8,.698,.679,0.4,0.5,.889,1.6,2.2,3.8,0.8,0.6,0.5,0.4,0.8,7.0,
Kris Dunn,30,LAC,PG,42,29,22.6,2.5,5.9,.423,0.9,3.0,.305,1.5,2.8,.551,.502,0.1,0.3,.500,0.7,2.6,3.2,2.7,1.5,0.3,1.1,2.5,6.0,
Dean Wade,28,CLE,PF,35,26,22.8,2.1,5.1,.408,1.5,4.3,.349,0.6,0.9,.700,.553,0.4,0.7,.520,1.0,4.1,5.1,1.6,0.9,0.5,0.3,1.9,6.0,
Keaton Wallace,25,ATL,PG,17,2,16.8,2.3,5.2,.438,1.0,2.6,.386,1.3,2.6,.489,.534,0.4,0.4,1.000,0.2,1.5,1.6,2.1,1.0,0.4,1.1,1.1,6.0,
James Wiseman,23,IND,C,1,0,5.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,
Marcus Sasser,24,DET,PG,34,0,13.8,2.2,4.8,.466,0.9,2.5,.369,1.3,2.3,.570,.561,0.5,0.6,.895,0.4,0.9,1.2,2.0,0.6,0.1,0.9,1.2,5.9,
Jaylin Williams,22,OKC,PF,18,5,16.2,2.2,5.2,.415,1.3,3.7,.364,0.8,1.6,.536,.543,0.2,0.2,1.000,1.2,3.6,4.8,2.2,0.4,0.6,0.7,1.7,5.9,
Isaac Okoro,24,CLE,SG,28,16,19.7,2.0,4.7,.427,1.1,2.8,.397,0.9,1.9,.472,.546,0.6,0.9,.720,0.8,1.3,2.1,1.6,0.7,0.4,0.4,2.0,5.8,
Jeremiah Robinson-Earl,24,NOP,PF,39,6,18.3,2.2,5.0,.446,0.7,2.3,.300,1.5,2.7,.571,.515,0.6,0.7,.862,1.8,3.1,4.8,1.3,0.7,0.2,0.7,1.3,5.8,
Robert Williams,27,POR,C,17,3,17.3,2.4,3.7,.651,0.1,0.2,.333,2.4,3.5,.667,.659,0.9,1.0,.882,1.8,3.9,5.7,1.0,0.6,1.7,0.9,1.5,5.8,
Alex Caruso,30,OKC,SG,27,0,19.7,2.2,5.7,.383,1.0,3.3,.292,1.2,2.4,.508,.468,0.3,0.4,.750,0.7,2.1,2.8,2.6,1.8,0.5,0.7,1.9,5.7,
Quenton Jackson,26,IND,PG,18,7,14.1,2.2,4.2,.513,0.5,1.3,.375,1.7,2.9,.577,.572,0.8,1.2,.714,0.6,0.9,1.5,1.7,0.5,0.3,0.6,1.8,5.7,
Isaiah Wong,24,CHO,SG,13,0,12.9,1.8,5.1,.364,0.4,1.6,.238,1.5,3.5,.422,.402,1.6,2.3,.700,1.0,0.9,1.9,1.5,0.5,0.0,0.9,1.1,5.7,
Alec Burks,33,MIA,SG,25,0,16.1,1.7,4.2,.413,1.3,3.1,.429,0.4,1.1,.370,.572,0.8,1.0,.808,0.3,1.7,2.0,1.0,0.5,0.2,0.4,0.6,5.6,
