Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Richaun Holmes,31,WAS,PF,7,0,8.6,1.0,2.4,.412,0.0,0.1,.000,1.0,2.3,.438,.412,0.6,0.7,.800,1.0,1.9,2.9,0.1,0.0,0.6,0.3,0.7,2.6,
Delon Wright,32,MIL,PG,25,2,15.3,0.9,3.1,.282,0.5,1.8,.261,0.4,1.3,.313,.359,0.3,0.6,.571,0.6,1.1,1.7,1.8,0.8,0.3,0.6,0.7,2.6,
Reece Beekman,23,2TM,PG,16,0,9.9,1.0,2.6,.390,0.3,0.9,.267,0.8,1.6,.462,.439,0.3,0.4,.571,0.3,0.5,0.8,1.3,0.5,0.1,0.5,0.4,2.5,
Reece Beekman,23,GSW,PG,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,
Reece Beekman,23,BRK,PG,14,0,11.1,1.1,2.9,.375,0.3,1.1,.267,0.8,1.8,.440,.425,0.3,0.5,.571,0.2,0.6,0.8,1.4,0.5,0.1,0.6,0.4,2.7,
Johnny Davis,22,WAS,SG,30,0,7.2,1.0,2.4,.431,0.2,0.9,.259,0.8,1.5,.533,.479,0.2,0.4,.636,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.6,2.5,
Collin Gillespie,25,PHO,PG,2,0,3.0,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5,
E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,.625,0.5,1.0,.500,0.3,0.3,1.000,.813,0.3,0.3,1.000,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,
Craig Porter Jr.,24,CLE,PG,26,0,7.6,1.0,1.7,.581,0.3,0.5,.538,0.7,1.2,.600,.663,0.2,0.3,.750,0.1,0.7,0.8,1.0,0.2,0.3,0.5,0.4,2.4,
Duop Reath,28,POR,C,21,0,5.9,0.8,2.1,.386,0.5,1.5,.313,0.3,0.6,.583,.500,0.3,0.4,.750,0.4,0.6,1.0,0.3,0.0,0.1,0.2,0.7,2.4,
Pat Spencer,28,GSW,PG,18,0,6.8,0.9,2.5,.378,0.1,0.6,.200,0.8,1.9,.429,.400,0.4,0.6,.700,0.5,0.8,1.3,1.5,0.4,0.1,0.6,0.4,2.4,
Vlatko Čančar,27,DEN,PF,4,0,8.5,1.0,1.8,.571,0.3,0.5,.500,0.8,1.3,.600,.643,0.0,0.0,,0.8,1.3,2.0,0.0,0.0,0.3,0.5,1.0,2.3,
Chris Duarte,27,CHI,SG,16,0,4.6,0.8,1.6,.480,0.4,0.9,.429,0.4,0.7,.545,.600,0.4,0.5,.750,0.3,0.9,1.3,0.5,0.0,0.0,0.1,0.4,2.3,
Lester Quiñones,24,PHI,SG,4,0,4.3,1.0,2.0,.500,0.0,0.8,.000,1.0,1.3,.800,.500,0.3,0.3,1.000,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,
Tyler Smith,20,MIL,PF,13,0,3.3,0.9,1.4,.667,0.4,0.8,.500,0.5,0.6,.875,.806,0.1,0.2,.500,0.2,0.8,0.9,0.1,0.0,0.2,0.2,0.4,2.3,
Trey Jemison,25,2TM,C,18,0,10.2,0.8,1.8,.469,0.0,0.0,,0.8,1.8,.469,.469,0.5,1.3,.391,1.3,1.5,2.8,0.6,0.4,0.4,0.6,1.7,2.2,
Trey Jemison,25,NOP,C,16,0,10.4,0.9,2.0,.469,0.0,0.0,,0.9,2.0,.469,.469,0.5,1.3,.381,1.4,1.4,2.8,0.6,0.4,0.4,0.6,1.7,2.4,
Trey Jemison,25,LAL,C,2,0,8.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.5,2.5,3.0,0.0,0.0,1.0,0.5,2.0,0.5,
Patrick Baldwin Jr.,22,WAS,SF,19,0,4.2,0.8,1.4,.556,0.5,0.9,.529,0.3,0.5,.600,.722,0.1,0.2,.500,0.2,0.6,0.8,0.1,0.1,0.1,0.2,0.3,2.2,
Kai Jones,24,LAC,C,27,0,7.6,0.9,1.3,.714,0.0,0.1,.000,0.9,1.2,.758,.714,0.3,0.4,.750,0.6,1.1,1.7,0.4,0.2,0.5,0.4,0.9,2.2,
Jaylon Tyson,22,CLE,SG,27,1,7.5,0.9,2.0,.426,0.3,0.8,.364,0.6,1.2,.469,.500,0.2,0.4,.600,0.6,1.2,1.8,0.7,0.3,0.0,0.4,0.9,2.2,
Johnny Furphy,20,IND,SG,30,0,7.5,0.7,1.8,.382,0.4,1.1,.344,0.3,0.8,.435,.482,0.3,0.3,1.000,0.4,0.7,1.1,0.3,0.3,0.2,0.3,0.7,2.1,
Dillon Jones,23,OKC,SF,28,0,8.6,0.8,2.3,.338,0.3,1.3,.189,0.5,1.0,.536,.392,0.3,0.5,.571,0.6,1.2,1.9,0.8,0.2,0.1,0.4,1.0,2.1,
Orlando Robinson,24,2TM,C,11,0,7.2,0.8,2.3,.360,0.1,0.5,.167,0.7,1.7,.421,.380,0.4,0.6,.571,0.5,1.4,1.8,0.8,0.4,0.3,0.6,0.9,2.1,
Orlando Robinson,24,SAC,C,9,0,6.3,0.8,1.9,.412,0.1,0.6,.200,0.7,1.3,.500,.441,0.4,0.8,.571,0.3,1.2,1.6,1.0,0.3,0.1,0.4,0.7,2.1,
Orlando Robinson,24,TOR,C,2,0,11.0,1.0,4.0,.250,0.0,0.5,.000,1.0,3.5,.286,.250,0.0,0.0,,1.0,2.0,3.0,0.0,0.5,1.0,1.5,2.0,2.0,
Hunter Tyson,24,DEN,PF,33,0,7.5,0.7,1.8,.373,0.3,1.1,.306,0.3,0.7,.478,.466,0.4,0.6,.737,0.3,1.2,1.5,0.4,0.2,0.1,0.3,0.9,2.1,
Dominick Barlow,21,ATL,SF,9,0,5.6,0.7,1.6,.429,0.2,0.4,.500,0.4,1.1,.400,.500,0.4,0.7,.667,0.0,0.8,0.8,0.2,0.3,0.0,0.0,0.3,2.0,
MarJon Beauchamp,24,MIL,SF,22,0,4.2,0.7,1.7,.395,0.2,0.8,.278,0.5,0.9,.500,.461,0.4,0.5,.800,0.2,0.9,1.0,0.1,0.1,0.0,0.5,0.2,2.0,
Jalen Hood-Schifino,21,LAL,SG,2,0,7.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,
Cory Joseph,33,ORL,PG,29,0,7.6,0.7,2.0,.356,0.5,1.4,.350,0.2,0.7,.368,.475,0.1,0.1,.500,0.2,0.6,0.8,0.8,0.4,0.1,0.4,0.6,2.0,
Christian Koloko,24,LAL,C,24,0,8.6,0.9,1.5,.595,0.0,0.1,.000,0.9,1.5,.629,.595,0.1,0.2,.750,1.0,1.2,2.3,0.3,0.3,0.3,0.3,1.1,2.0,
Alex Reese,25,OKC,PF,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
Adama Sanogo,22,CHI,C,4,0,5.3,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,
Tristan Thompson,33,CLE,C,21,0,8.1,0.9,1.8,.474,0.0,0.1,.000,0.9,1.7,.500,.474,0.2,1.0,.250,0.8,2.1,2.9,0.7,0.0,0.3,0.5,1.0,2.0,
Jarred Vanderbilt,25,LAL,PF,1,0,12.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,2.0,2.0,4.0,2.0,3.0,0.0,0.0,3.0,2.0,
TyTy Washington Jr.,23,PHO,PG,4,0,7.0,0.8,1.5,.500,0.5,0.8,.667,0.3,0.8,.333,.667,0.0,0.0,,0.0,0.3,0.3,1.0,0.5,0.0,0.3,0.0,2.0,
Anthony Gill,32,WAS,PF,31,0,5.9,0.6,1.3,.488,0.2,0.5,.357,0.5,0.9,.556,.549,0.5,0.8,.625,0.2,0.7,0.9,0.2,0.2,0.0,0.2,0.5,1.9,
Tyler Kolek,23,NYK,PG,26,0,5.4,0.7,1.7,.378,0.4,1.0,.385,0.3,0.7,.368,.489,0.2,0.2,1.000,0.1,0.5,0.6,0.7,0.3,0.0,0.3,0.5,1.9,
Jordan McLaughlin,28,SAC,PG,27,0,6.8,0.6,1.6,.381,0.4,0.9,.400,0.2,0.6,.353,.500,0.4,0.5,.714,0.1,0.6,0.8,0.9,0.4,0.0,0.4,0.5,1.9,
Enrique Freeman,24,IND,PF,18,1,7.5,0.7,1.4,.480,0.1,0.3,.167,0.6,1.1,.579,.500,0.4,0.7,.538,0.3,0.7,1.0,0.4,0.1,0.1,0.3,0.9,1.8,
Jericho Sims,26,NYK,C,35,5,11.9,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.2,0.4,.615,1.4,2.2,3.6,0.6,0.2,0.3,0.6,1.3,1.8,
Markieff Morris,35,DAL,PF,6,0,4.8,0.7,2.7,.250,0.3,1.5,.222,0.3,1.2,.286,.313,0.0,0.0,,0.0,1.2,1.2,0.7,0.2,0.2,0.3,0.2,1.7,
Matt Ryan,27,NYK,SF,15,0,3.9,0.6,1.7,.360,0.3,1.1,.313,0.3,0.6,.444,.460,0.1,0.1,1.000,0.0,0.4,0.4,0.0,0.1,0.0,0.2,0.1,1.7,
Jaden Springer,22,BOS,SG,22,0,4.9,0.5,1.2,.385,0.2,0.5,.333,0.3,0.6,.429,.462,0.6,0.9,.737,0.2,0.6,0.8,0.4,0.4,0.0,0.1,0.7,1.7,
Jordan Walsh,20,BOS,PF,32,1,8.2,0.6,1.7,.358,0.3,1.2,.297,0.3,0.5,.500,.462,0.2,0.3,.500,0.4,0.8,1.1,0.3,0.3,0.3,0.3,0.6,1.7,
Ariel Hukporti,22,NYK,C,15,0,7.9,0.7,1.1,.625,0.0,0.0,,0.7,1.1,.625,.625,0.3,0.5,.500,0.3,1.5,1.9,0.4,0.0,0.7,0.7,1.0,1.6,
Keshad Johnson,23,MIA,SF,10,0,5.7,0.7,1.2,.583,0.1,0.4,.250,0.6,0.8,.750,.625,0.1,0.6,.167,0.2,1.5,1.7,0.3,0.1,0.4,0.3,0.5,1.6,
Alex Len,31,SAC,C,33,3,7.5,0.7,1.2,.537,0.0,0.2,.167,0.6,1.1,.600,.549,0.2,0.4,.538,0.7,1.2,1.9,0.9,0.2,0.5,0.3,1.0,1.6,
Pacome Dadiet,19,NYK,SG,13,0,6.4,0.5,1.5,.300,0.4,1.1,.357,0.1,0.5,.167,.425,0.2,0.2,1.000,0.0,1.0,1.0,0.4,0.1,0.2,0.1,0.4,1.5,
Jazian Gortman,21,DAL,PG,16,0,3.6,0.6,1.4,.391,0.3,0.7,.364,0.3,0.8,.417,.478,0.1,0.3,.500,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.5,
Quincy Olivari,23,LAL,PG,2,0,5.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,
Dwight Powell,33,DAL,C,33,0,7.6,0.4,0.5,.778,0.0,0.0,1.000,0.4,0.5,.765,.806,0.6,0.9,.667,0.7,1.1,1.8,0.7,0.4,0.5,0.2,1.2,1.5,
Terrence Shannon Jr. ,24,MIN,SG,10,0,4.5,0.7,1.3,.538,0.1,0.3,.333,0.6,1.0,.600,.577,0.0,0.0,,0.0,0.2,0.2,0.5,0.2,0.1,0.3,0.1,1.5,
Armel Traoré,22,LAL,SF,8,0,7.6,0.6,2.3,.278,0.0,0.9,.000,0.6,1.4,.455,.278,0.3,0.9,.286,0.1,1.6,1.8,0.1,0.5,0.3,0.3,0.8,1.5,
Colin Castleton,24,MEM,C,10,0,4.6,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,1.0,1.1,.909,0.3,0.6,0.9,0.0,0.1,0.1,0.1,0.6,1.4,
Sidy Cissoko,20,SAS,SF,16,0,3.2,0.6,1.1,.500,0.2,0.4,.429,0.4,0.7,.545,.583,0.1,0.4,.167,0.2,0.4,0.6,0.4,0.1,0.0,0.1,0.4,1.4,
Yuki Kawamura,23,MEM,PG,17,0,3.3,0.5,1.2,.381,0.2,0.9,.267,0.2,0.4,.667,.476,0.2,0.4,.667,0.0,0.4,0.4,0.7,0.1,0.0,0.2,0.4,1.4,
Alex Ducas,24,OKC,SG,9,0,3.4,0.4,1.0,.444,0.4,0.9,.500,0.0,0.1,.000,.667,0.0,0.0,,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.3,1.3,
Jack McVeigh,28,HOU,PF,6,0,3.5,0.5,1.8,.273,0.3,1.3,.250,0.2,0.5,.333,.364,0.0,0.0,,0.2,0.5,0.7,0.2,0.0,0.2,0.2,0.2,1.3,
Luke Travers,23,CLE,SG,6,0,7.0,0.5,1.2,.429,0.0,0.5,.000,0.5,0.7,.750,.429,0.3,0.3,1.000,0.2,0.8,1.0,0.8,0.2,0.2,0.3,0.5,1.3,
Cam Christie,19,LAC,SG,5,0,5.8,0.4,1.8,.222,0.2,1.2,.167,0.2,0.6,.333,.278,0.2,0.4,.500,0.2,1.0,1.2,0.4,0.4,0.0,0.4,0.4,1.2,
JD Davison,22,BOS,PG,5,0,4.8,0.4,1.0,.400,0.2,0.6,.333,0.2,0.4,.500,.500,0.2,0.4,.500,0.0,0.4,0.4,0.2,0.2,0.0,1.2,0.2,1.2,
AJ Johnson,20,MIL,SG,6,0,2.5,0.5,1.2,.429,0.2,0.2,1.000,0.3,1.0,.333,.500,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.3,0.0,1.2,
Bryce McGowens,22,POR,SG,5,0,2.6,0.6,1.0,.600,0.0,0.4,.000,0.6,0.6,1.000,.600,0.0,0.2,.000,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.2,1.2,
Zeke Nnaji,24,DEN,PF,27,0,4.5,0.6,1.3,.441,0.0,0.4,.000,0.6,0.9,.625,.441,0.1,0.3,.429,0.1,0.4,0.5,0.1,0.0,0.1,0.1,0.3,1.2,
PJ Hall,22,DEN,C,10,0,2.8,0.4,0.8,.500,0.0,0.3,.000,0.4,0.5,.800,.500,0.3,0.4,.750,0.2,0.8,1.0,0.2,0.0,0.1,0.1,0.3,1.1,
Colby Jones,22,SAC,SG,23,0,5.3,0.5,1.1,.440,0.2,0.4,.444,0.3,0.7,.438,.520,0.0,0.0,,0.3,0.6,0.9,0.2,0.2,0.3,0.3,0.6,1.1,
Adam Flagler,25,OKC,SG,15,0,3.7,0.3,2.1,.161,0.3,1.9,.179,0.0,0.2,.000,.242,0.0,0.0,,0.2,0.3,0.5,0.0,0.1,0.1,0.1,0.4,1.0,
Mouhamed Gueye,22,ATL,PF,2,0,5.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,
James Johnson,37,IND,PF,8,0,3.4,0.5,0.9,.571,0.0,0.1,.000,0.5,0.8,.667,.571,0.0,0.1,.000,0.0,0.5,0.5,0.4,0.0,0.3,0.5,0.5,1.0,
Jaylen Martin,21,BRK,SF,3,0,1.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,
Karlo Matković,23,NOP,PF,10,0,7.3,0.5,1.2,.417,0.0,0.2,.000,0.5,1.0,.500,.417,0.0,0.0,,0.8,1.2,2.0,0.3,0.5,0.7,0.7,1.2,1.0,
Jared Rhoden,25,CHO,SG,4,0,3.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,
Baylor Scheierman,24,BOS,SG,9,0,6.0,0.3,1.9,.176,0.1,1.3,.083,0.2,0.6,.400,.206,0.2,0.2,1.000,0.2,1.2,1.4,0.4,0.2,0.0,0.0,0.7,1.0,
Xavier Tillman Sr.,26,BOS,C,25,1,7.4,0.4,1.5,.270,0.2,0.8,.200,0.2,0.7,.353,.324,0.0,0.1,.500,0.3,1.1,1.4,0.3,0.3,0.2,0.3,0.5,1.0,
Maxwell Lewis,22,2TM,SF,8,0,3.8,0.4,0.9,.429,0.1,0.1,1.000,0.3,0.8,.333,.500,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.9,
Maxwell Lewis,22,LAL,SF,7,0,4.1,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.6,
Maxwell Lewis,22,BRK,SF,1,0,1.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
Trey Alexander,21,DEN,SG,14,0,4.4,0.3,1.3,.222,0.1,0.6,.222,0.1,0.6,.222,.278,0.1,0.1,1.000,0.0,0.3,0.3,0.4,0.1,0.1,0.1,0.4,0.9,
Josh Christopher,23,MIA,SG,7,0,3.7,0.3,0.9,.333,0.0,0.1,.000,0.3,0.7,.400,.333,0.3,0.6,.500,0.0,0.4,0.4,0.6,0.0,0.1,0.6,0.1,0.9,
D.J. Carton,24,TOR,SG,4,0,8.3,0.3,1.8,.143,0.0,0.8,.000,0.3,1.0,.250,.143,0.3,0.3,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,
Ulrich Chomche,19,TOR,PF,6,0,3.3,0.3,0.5,.667,0.0,0.0,,0.3,0.5,.667,.667,0.2,0.3,.500,0.5,0.5,1.0,0.3,0.0,0.0,0.3,0.7,0.8,
PJ Dozier,28,MIN,SG,9,0,3.9,0.2,0.3,.667,0.2,0.3,.667,0.0,0.0,,1.000,0.1,0.7,.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,
Isaiah Crawford,23,SAC,SF,3,0,3.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.7,
Kessler Edwards,24,DAL,SF,16,1,5.4,0.3,0.9,.267,0.1,0.5,.125,0.2,0.4,.429,.300,0.1,0.1,1.000,0.1,0.8,0.8,0.3,0.2,0.1,0.1,0.5,0.7,
Liam Robbins,25,MIL,C,13,0,4.4,0.2,0.6,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.4,0.8,.500,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,
Cui Yongxi,21,BRK,SG,5,0,2.0,0.2,1.4,.143,0.0,0.6,.000,0.2,0.8,.250,.143,0.2,0.4,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,
Garrett Temple,38,TOR,SG,15,0,3.9,0.1,0.7,.182,0.1,0.3,.200,0.1,0.4,.167,.227,0.3,0.3,1.000,0.1,0.5,0.7,0.6,0.3,0.1,0.3,0.5,0.6,
Tristen Newton,23,2TM,SG,6,0,1.5,0.2,1.0,.167,0.0,0.5,.000,0.2,0.5,.333,.167,0.2,0.2,1.000,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.5,0.5,
Tristen Newton,23,IND,SG,5,0,1.6,0.2,1.2,.167,0.0,0.6,.000,0.2,0.6,.333,.167,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.6,
Tristen Newton,23,MIN,SG,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Jaylen Clark,23,MIN,SG,4,0,2.5,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.5,0.5,1.000,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.5,
Leonard Miller,21,MIN,SF,4,0,2.5,0.0,1.0,.000,0.0,0.8,.000,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,1.0,1.3,0.0,0.3,0.0,0.3,0.3,0.5,
Stanley Umude,25,MIL,SG,17,0,3.1,0.2,0.9,.188,0.1,0.5,.250,0.1,0.5,.125,.250,0.0,0.1,.000,0.2,0.6,0.8,0.1,0.1,0.1,0.1,0.4,0.5,
RayJ Dennis,23,IND,PG,5,0,2.0,0.0,0.4,.000,0.0,0.4,.000,0.0,0.0,,.000,0.4,0.4,1.000,0.2,0.4,0.6,0.2,0.4,0.0,0.4,0.2,0.4,
Spencer Jones,23,DEN,SF,5,0,2.6,0.2,0.8,.250,0.0,0.6,.000,0.2,0.2,1.000,.250,0.0,0.0,,0.0,0.6,0.6,0.0,0.4,0.0,0.2,0.2,0.4,
Jacob Toppin,24,NYK,SF,14,0,3.1,0.2,0.6,.333,0.0,0.1,.000,0.2,0.5,.429,.333,0.0,0.0,,0.1,0.5,0.6,0.3,0.1,0.0,0.1,0.1,0.4,
Jalen Bridges,23,PHO,SF,4,0,4.3,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,.000,0.3,0.5,.500,0.0,0.8,0.8,0.0,0.0,0.0,0.5,0.0,0.3,
Bronny James,20,LAL,SG,12,0,2.4,0.1,0.9,.091,0.0,0.3,.000,0.1,0.6,.143,.091,0.2,0.2,1.000,0.1,0.1,0.2,0.3,0.2,0.1,0.0,0.2,0.3,
Malevy Leons,25,OKC,SF,6,0,3.5,0.0,0.3,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.3,0.7,.500,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,
Chris Livingston,21,MIL,SF,8,0,2.6,0.1,0.3,.500,0.0,0.0,,0.1,0.3,.500,.500,0.0,0.0,,0.3,1.0,1.3,0.1,0.1,0.0,0.4,0.3,0.3,
Daishen Nix,22,MIN,PG,3,0,4.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,
Tristan Vukcevic,21,WAS,C,6,0,2.2,0.2,1.0,.167,0.0,0.7,.000,0.2,0.3,.500,.167,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.3,0.3,
Emoni Bates,21,CLE,SF,1,0,6.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Joe Ingles,37,MIN,SF,9,0,3.9,0.0,0.3,.000,0.0,0.2,.000,0.0,0.1,.000,.000,0.0,0.0,,0.2,0.0,0.2,1.0,0.0,0.0,0.1,0.7,0.0,
Harrison Ingram,22,SAS,SF,1,0,7.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Daniss Jenkins,23,DET,PG,3,0,2.7,0.0,1.3,.000,0.0,1.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,
Mason Jones,26,SAC,SG,3,0,4.3,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.0,0.0,,0.3,1.0,1.3,2.3,0.0,0.0,0.0,0.3,0.0,
Bobi Klintman,21,DET,SF,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,
Mac McClung,26,ORL,SG,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
Justin Minaya,25,POR,SF,6,0,3.0,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.3,0.2,0.5,0.3,0.2,0.0,0.0,0.5,0.0,
Riley Minix,24,SAS,SF,1,0,7.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cole Swider,25,DET,SF,2,0,6.5,0.0,2.5,.000,0.0,2.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,
League Average,,,,,,,,,.464,,,.360,,,.541,.540,,,.779,,,,,,,,,,
